"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","3:00","3:00","0.30","10:02","147","156","13","23","163","0.98","32","80.6","8:51","181","2:59","9:59"
"","1","Run","2","0:45","3:45","0.11","6:53","154","157","0","13","182","1.28","8","78.8","6:46","188","0:45","6:53"
"","","Recovery","3","0:45","4:30","0.10","7:53","147","150","0","10","175","1.17","8","78.8","7:13","184","0:45","7:53"
"","2","Run","4","0:45","5:15","0.11","7:08","152","157","0","20","182","1.24","8","78.8","6:18","186","0:45","7:08"
"","","Recovery","5","0:45","6:00","0.09","8:00","154","156","0","13","175","1.15","8","78.8","7:29","188","0:45","8:00"
"","3","Run","6","0:45","6:45","0.11","6:55","159","162","0","10","185","1.25","9","78.8","6:42","193","0:45","6:55"
"","","Recovery","7","0:45","7:30","0.10","7:25","155","159","0","0","178","1.22","8","78.8","6:41","191","0:45","7:25"
"","4","Run","8","0:45","8:15","0.11","6:34","160","163","0","3","183","1.34","9","78.8","6:13","186","0:45","6:34"
"","","Recovery","9","0:45","9:00","0.09","8:13","158","162","0","13","177","1.10","9","78.8","6:17","183","0:45","8:13"
"","5","Run","10","0:45","9:45","0.11","7:06","164","167","0","10","184","1.23","9","78.8","6:46","188","0:45","7:06"
"","","Recovery","11","0:45","10:30","0.10","7:42","159","163","0","3","176","1.19","9","78.8","6:49","183","0:45","7:42"
"","6","Run","12","0:45","11:15","0.11","7:04","164","167","0","3","184","1.24","9","78.8","6:40","191","0:45","7:04"
"","","Recovery","13","0:45","12:00","0.09","8:06","155","160","3","3","177","1.13","8","78.8","7:17","183","0:45","8:06"
"","7","Run","14","0:45","12:45","0.12","6:29","162","166","0","7","167","1.49","9","78.8","5:51","187","0:45","6:29"
"","","Recovery","15","0:45","13:30","0.08","9:32","162","166","0","7","174","0.97","9","80.6","6:02","187","0:45","9:32"
"","8","Run","16","0:45","14:15","0.11","6:40","161","165","0","7","184","1.31","9","80.6","7:02","186","0:45","6:40"
"","","Recovery","17","0:45","15:00","0.09","7:57","155","159","0","3","174","1.16","8","80.6","7:20","186","0:45","7:57"
"","9","Run","18","0:45","15:45","0.11","6:44","164","168","0","3","184","1.30","9","80.6","6:00","191","0:45","6:44"
"","","Recovery","19","0:45","16:30","0.10","7:48","158","161","0","0","172","1.20","9","80.6","6:54","181","0:45","7:48"
"","10","Run","20","0:45","17:15","0.10","7:18","163","168","7","3","183","1.20","9","82.4","6:10","188","0:45","7:18"
"","","Recovery","21","0:45","18:00","0.10","7:44","157","165","0","10","174","1.20","9","82.4","6:58","184","0:45","7:44"
"","","Cool Down","22","3:00","21:00","0.37","8:08","160","166","72","36","169","1.17","37","82.4","7:25","177","3:00","8:08"
"","11","Run","23 - 26","27:25","48:25","3.02","9:04","163","179","942","787","164","1.08","350","84.2","7:49","181","27:25","9:04"
"","Summary","--","--","48:25","48:25","5.72","8:28","160","179","1,037","1,001","169","1.13","592","82.4","5:51","193","48:24","8:28"
