Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 9,Value 9
record,timestamp,1092223284,position_lat,468080278,position_long,-916453071.0,distance,370.5,enhanced_speed,2.948,enhanced_altitude,130.20000000000005,cadence,83.0
record,timestamp,1092223292,position_lat,468077926,position_long,-916452544.0,distance,392.77,enhanced_speed,2.958,enhanced_altitude,130.79999999999995,cadence,83.0
record,timestamp,1092223296,position_lat,468076826,position_long,-916452297.0,distance,403.12,enhanced_speed,2.93,enhanced_altitude,131.20000000000005,cadence,83.0
record,timestamp,1092223301,position_lat,468075392,position_long,-916452271.0,distance,416.46,enhanced_speed,2.911,enhanced_altitude,131.39999999999998,cadence,83.0
record,timestamp,1092223308,position_lat,468073283,position_long,-916452279.0,distance,436.02,enhanced_speed,2.893,enhanced_altitude,131.79999999999995,cadence,82.0
record,timestamp,1092223316,position_lat,468070930,position_long,-916452107.0,distance,457.91,enhanced_speed,2.893,enhanced_altitude,132.20000000000005,cadence,82.0
record,timestamp,1092223318,position_lat,468070374,position_long,-916452123.0,distance,463.08,enhanced_speed,2.883,enhanced_altitude,132.20000000000005,cadence,83.0
record,timestamp,1092223319,position_lat,468070100,position_long,-916452100.0,distance,465.63,enhanced_speed,2.883,enhanced_altitude,132.20000000000005,cadence,83.0
record,timestamp,1092223321,position_lat,468069513,position_long,-916452139.0,distance,471.09,enhanced_speed,2.874,enhanced_altitude,132.39999999999998,cadence,83.0
record,timestamp,1092223325,position_lat,468068405,position_long,-916452153.0,distance,481.37,enhanced_speed,2.846,enhanced_altitude,132.79999999999995,cadence,83.0
record,timestamp,1092223329,position_lat,468067206,position_long,-916452280.0,distance,492.53,enhanced_speed,2.846,enhanced_altitude,132.79999999999995,cadence,84.0
record,timestamp,1092223332,position_lat,468066327,position_long,-916452350.0,distance,500.7,enhanced_speed,2.846,enhanced_altitude,133.0,cadence,83.0
record,timestamp,1092223337,position_lat,468064858,position_long,-916452455.0,distance,514.43,enhanced_speed,2.846,enhanced_altitude,132.79999999999995,cadence,83.0
record,timestamp,1092223340,position_lat,468064044,position_long,-916452285.0,distance,522.1,enhanced_speed,2.837,enhanced_altitude,133.0,cadence,82.0
record,timestamp,1092223347,position_lat,468061966,position_long,-916451892.0,distance,538.75,enhanced_speed,2.818,enhanced_altitude,133.20000000000005,cadence,83.0
record,timestamp,1092223350,position_lat,468061120,position_long,-916451660.0,distance,546.74,enhanced_speed,2.818,enhanced_altitude,133.20000000000005,cadence,83.0
record,timestamp,1092223353,position_lat,468060285,position_long,-916451317.0,distance,552.39,enhanced_speed,2.818,enhanced_altitude,133.60000000000002,cadence,83.0
record,timestamp,1092223355,position_lat,468059748,position_long,-916451138.0,distance,557.5,enhanced_speed,2.809,enhanced_altitude,133.60000000000002,cadence,83.0
