"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 2","10:00","10:00","1.02","9:48","139","153","98","33","166","0.99","103","84.1","8:26","175","9:59.0","9:47"
"","1","Run","3","4:00","14:00","0.59","6:48","152","161","0","92","180","1.31","45","78.8","6:16","187","4:00","6:48"
"","","Recovery","4","2:00","16:00","0.24","8:27","158","167","0","23","171","1.12","24","78.8","6:30","181","2:00","8:27"
"","2","Run","5","2:00","18:00","0.30","6:44","167","174","0","26","152","1.57","26","78.8","6:30","188","2:00","6:44"
"","","Recovery","6","1:00","19:00","0.11","9:23","162","166","0","3","171","1.00","12","78.8","7:22","183","1:00","9:23"
"","3","Run","7","1:00","20:00","0.15","6:32","167","171","85","10","184","1.34","13","78.8","7:08","193","1:00","6:32"
"","","Recovery","8","0:30","20:30","0.06","8:44","160","165","36","3","178","1.03","6","78.8","7:25","187","0:30","8:44"
"","4","Run","9","0:30","21:00","0.07","7:26","162","164","0","66","181","1.20","6","80.6","7:11","185","0:30","7:26"
"","","Recovery","10","3:00","24:00","0.34","8:42","155","163","148","92","168","1.10","35","80.6","7:10","181","3:00","8:42"
"","5","Run","11","4:00","28:00","0.56","7:10","162","169","30","98","181","1.24","50","82.4","6:35","191","4:00","7:10"
"","","Recovery","12","2:00","30:00","0.24","8:25","159","167","105","43","172","1.11","24","82.4","7:54","181","2:00","8:25"
"","6","Run","13","2:00","32:00","0.28","7:08","162","167","36","56","181","1.25","25","82.4","7:08","185","2:00","7:08"
"","","Recovery","14","1:00","33:00","0.08","11:56","165","167","0","49","169","0.80","13","84.2","7:40","181","1:00","11:56"
"","7","Run","15","1:00","34:00","0.13","7:47","169","175","62","20","181","1.14","13","84.2","8:13","189","1:00","7:47"
"","","Recovery","16","0:30","34:30","0.06","8:15","172","175","7","10","171","1.14","7","84.2","8:35","179","0:30","8:15"
"","8","Run","17","0:30","35:00","0.07","7:00","174","176","0","39","178","1.29","6","84.2","7:23","183","0:30","7:00"
"","","Recovery","18","3:00","38:00","0.34","8:43","163","176","138","49","166","1.11","38","84.2","7:13","185","3:00","8:43"
"","","Cool Down","19","5:00","43:00","0.59","8:29","160","164","115","115","168","1.13","61","86.0","7:55","181","5:00","8:29"
"","9","Run","20 - 22","23:40","1:06:40","2.55","9:17","157","168","574","518","164","1.05","279","86.7","8:04","179","23:39","9:16"
"","Summary","--","--","1:06:40","1:06:40","7.78","8:34","156","176","1,430","1,352","169","1.11","786","84.0","6:16","193","1:06:38","8:34"
