"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","3:00","3:00","0.31","9:49","132","145","23","7","164","1.00","29","87.8","9:02","173","3:00","9:49"
"","1","Run","2","0:45","3:45","0.10","7:31","151","154","13","0","173","1.24","8","86.0","7:44","177","0:45","7:31"
"","","Recovery","3","0:45","4:30","0.09","8:49","149","154","16","0","171","1.07","8","84.2","8:02","175","0:45","8:49"
"","2","Run","4","0:45","5:15","0.10","7:18","151","154","10","0","155","1.42","8","84.2","7:17","183","0:45","7:18"
"","","Recovery","5","0:45","6:00","0.09","7:56","146","153","0","7","170","1.20","8","84.2","7:19","181","0:45","7:56"
"","3","Run","6","0:45","6:45","0.12","6:23","150","154","0","16","179","1.41","8","82.4","6:35","183","0:45","6:23"
"","","Recovery","7","0:45","7:30","0.09","8:46","147","152","13","3","172","1.07","8","82.4","6:47","181","0:45","8:46"
"","4","Run","8","0:45","8:15","0.11","6:45","157","166","13","0","181","1.31","8","82.4","6:48","189","0:45","6:45"
"","","Recovery","9","0:45","9:00","0.10","7:27","163","169","0","30","163","1.32","9","82.4","6:48","181","0:45","7:27"
"","5","Run","10","0:45","9:45","0.10","7:22","160","169","0","16","178","1.23","9","82.4","7:18","181","0:45","7:22"
"","","Recovery","11","0:45","10:30","0.10","7:42","155","162","0","7","172","1.21","8","82.4","7:17","179","0:45","7:42"
"","6","Run","12","0:45","11:15","0.12","6:29","161","164","0","20","178","1.39","9","82.4","6:51","181","0:45","6:29"
"","","Recovery","13","0:45","12:00","0.09","8:23","156","160","0","13","158","1.22","8","82.4","6:54","179","0:45","8:23"
"","7","Run","14","0:45","12:45","0.10","7:22","166","173","0","10","178","1.23","9","82.4","7:18","185","0:45","7:22"
"","","Recovery","15","0:45","13:30","0.10","7:12","166","173","0","0","174","1.29","9","82.4","7:19","183","0:45","7:12"
"","8","Run","16","0:45","14:15","0.12","6:23","170","173","0","3","180","1.40","10","82.4","6:30","185","0:45","6:23"
"","","Recovery","17","0:45","15:00","0.09","8:05","165","170","0","10","171","1.16","9","84.2","6:28","185","0:45","8:05"
"","9","Run","18","0:45","15:45","0.12","6:12","169","171","0","7","116","2.23","10","84.2","6:32","187","0:45","6:12"
"","","Recovery","19","0:45","16:30","0.10","7:33","167","170","0","7","156","1.36","10","84.2","6:35","176","0:45","7:33"
"","10","Run","20","0:45","17:15","0.11","6:45","168","175","0","3","180","1.33","10","84.2","6:42","185","0:45","6:45"
"","","Recovery","21","0:45","18:00","0.08","9:29","161","165","7","3","175","0.97","9","84.2","6:37","181","0:45","9:29"
"","","Cool Down","22","3:00","21:00","0.39","7:43","164","172","0","26","170","1.23","39","86.0","7:30","175","3:00","7:43"
"","11","Run","23 - 25","25:25","46:25","2.88","8:49","168","188","801","709","164","1.11","337","87.2","7:30","179","25:23","8:49"
"","Summary","--","--","46:25","46:25","5.60","8:17","163","188","889","899","166","1.17","580","85.9","6:28","189","46:23","8:17"
