"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 2","10:00","10:00","1.05","9:31","136","163","85","33","167","1.01","101","82.2","8:33","175","9:59.4","9:30"
"","1","Run","3","0:45","10:45","0.11","6:48","130","142","0","23","178","1.33","6","78.8","6:52","183","0:45","6:48"
"","","Recovery","4","0:45","11:30","0.08","9:34","137","141","0","20","171","0.99","7","77.0","6:49","183","0:45","9:34"
"","2","Run","5","0:45","12:15","0.10","7:12","145","150","0","30","180","1.24","8","77.0","7:17","186","0:45","7:12"
"","","Recovery","6","0:45","13:00","0.10","7:53","145","149","0","10","174","1.18","8","77.0","7:16","187","0:45","7:53"
"","3","Run","7","0:45","13:45","0.11","6:59","146","153","0","30","185","1.25","8","77.0","6:52","193","0:45","6:59"
"","","Recovery","8","0:45","14:30","0.09","8:43","140","144","16","49","178","1.03","7","77.0","7:08","187","0:45","8:43"
"","4","Run","9","0:45","15:15","0.11","7:05","151","155","85","36","185","1.23","8","75.2","6:50","191","0:44","6:55"
"","","Recovery","10","0:45","16:00","0.09","8:22","146","152","23","56","168","1.14","8","75.2","6:52","188","0:45","8:22"
"","5","Run","11","0:45","16:45","0.12","6:11","146","151","82","20","184","1.42","8","75.2","6:50","186","0:45","6:11"
"","","Recovery","12","0:45","17:30","0.08","8:58","144","149","7","26","175","1.03","8","75.2","6:55","186","0:45","8:58"
"","6","Run","13","0:45","18:15","0.11","7:04","149","161","16","20","186","1.23","8","75.2","7:08","191","0:45","7:04"
"","","Recovery","14","0:45","19:00","0.09","8:47","153","159","0","23","177","1.03","8","75.2","7:09","190","0:45","8:47"
"","7","Run","15","0:45","19:45","0.11","7:05","156","160","43","23","185","1.23","8","75.2","7:22","189","0:45","7:05"
"","","Recovery","16","0:45","20:30","0.08","9:14","152","156","36","59","173","1.01","8","75.2","7:33","188","0:45","9:14"
"","8","Run","17","0:45","21:15","0.11","6:45","160","167","3","105","185","1.29","9","75.2","7:06","191","0:45","6:45"
"","","Recovery","18","0:45","22:00","0.09","8:43","159","162","10","0","173","1.07","9","75.2","7:29","186","0:45","8:43"
"","9","Run","19","0:45","22:45","0.11","6:42","164","168","72","0","177","1.36","9","77.0","7:03","189","0:45","6:42"
"","","Recovery","20","0:45","23:30","0.09","8:23","160","163","0","3","173","1.11","9","77.0","6:55","188","0:45","8:23"
"","10","Run","21","0:45","24:15","0.12","6:00","164","169","0","0","188","1.43","9","77.0","6:07","196","0:45","6:00"
"","","Recovery","22","0:45","25:00","0.09","8:29","160","164","0","7","175","1.08","9","77.0","6:18","191","0:45","8:29"
"","11","Run","23","0:45","25:45","0.11","6:58","167","174","3","30","185","1.25","10","77.0","7:05","193","0:45","6:58"
"","","Recovery","24","0:45","26:30","0.08","8:52","160","163","0","10","147","1.23","9","77.0","7:05","183","0:45","8:52"
"","12","Run","25","0:45","27:15","0.12","6:10","165","170","0","7","185","1.41","9","78.8","6:26","193","0:45","6:10"
"","","Recovery","26","0:45","28:00","0.08","9:22","157","161","0","0","173","0.99","8","78.8","6:35","186","0:44","9:09"
"","13","Run","27","0:45","28:45","0.11","6:59","163","166","3","0","184","1.25","9","78.8","7:12","188","0:44","6:50"
"","","Recovery","28","0:45","29:30","0.09","8:12","161","163","0","3","173","1.14","9","78.8","7:22","186","0:45","8:12"
"","14","Run","29","0:45","30:15","0.11","7:03","169","172","13","0","155","1.48","10","78.8","7:08","188","0:45","7:03"
"","","Recovery","30","0:45","31:00","0.08","9:36","163","166","7","7","174","0.96","9","78.8","6:55","188","0:45","9:36"
"","15","Run","31","0:45","31:45","0.11","6:37","169","174","0","20","181","1.34","10","78.8","7:13","185","0:45","6:37"
"","","Recovery","32","0:45","32:30","0.09","8:09","170","177","0","3","173","1.14","10","78.8","7:30","183","0:45","8:09"
"","16","Run","33 - 42","46:06","1:18:36","5.00","9:13","167","186","1,693","1,047","169","1.03","607","83.9","7:08","185","45:58","9:12"
"","","Cool Down","43","3:00","1:21:36","0.29","10:13","140","177","144","230","162","0.97","23","84.2","9:06","168","3:00","10:13"
"","17","Run","44","2:49.2","1:24:25","0.33","8:27","131","148","26","66","161","1.18","17","82.4","8:19","166","2:49.2","8:27"
"","Summary","--","--","1:24:25","1:24:25","9.63","8:46","158","186","2,375","1,995","170","1.08","1,003","81.8","6:07","196","1:24:13","8:45"
